# COVID-19 累计确诊（中国及其部分地区）
time,name,value
1582505413,北京,399 #2020-02-24 08:50:13
1582456742,北京,399 #2020-02-23 19:19:02
1582338017,北京,399 #2020-02-22 10:20:17
1582246825,北京,396 #2020-02-21 09:00:25
1582162720,北京,395 #2020-02-20 09:38:40
1582086250,北京,393 #2020-02-19 12:24:10
1581991668,北京,387 #2020-02-18 10:07:48
1581902469,北京,381 #2020-02-17 09:21:09
1581847003,北京,380 #2020-02-16 17:56:43
1581759914,北京,375 #2020-02-15 17:45:14
1581661880,北京,372 #2020-02-14 14:31:20
1581603164,北京,366 #2020-02-13 22:12:44
1581474949,北京,352 #2020-02-12 10:35:49
1581389724,北京,342 #2020-02-11 10:55:24
1581304334,北京,337 #2020-02-10 11:12:14
1581220033,北京,326 #2020-02-09 11:47:13
1581131088,北京,315 #2020-02-08 11:04:48
1581045628,北京,297 #2020-02-07 11:20:28
1580963857,北京,274 #2020-02-06 12:37:37
1580881352,北京,253 #2020-02-05 13:42:32
1580804907,北京,228 #2020-02-04 16:28:27
1580723047,北京,212 #2020-02-03 17:44:07
1580632391,北京,191 #2020-02-02 16:33:11
1580548924,北京,168 #2020-02-01 17:22:04
1580459766,北京,139 #2020-01-31 16:36:06
1580358469,北京,114 #2020-01-30 12:27:49
1580311803,北京,111 #2020-01-29 23:30:03
1580216523,北京,91 #2020-01-28 21:02:03
1580140646,北京,80 #2020-01-27 23:57:26
1580051133,北京,68 #2020-01-26 23:05:33
1579954516,北京,41 #2020-01-25 20:15:16
1579880103,北京,36 #2020-01-24 23:35:03
1579774513,北京,22 #2020-01-23 18:15:13
1579634890,北京,10 #2020-01-22 03:28:10
1582527245,上海,335 #2020-02-24 14:54:05
1582456742,上海,335 #2020-02-23 19:19:02
1582352913,上海,335 #2020-02-22 14:28:33
1582264114,上海,334 #2020-02-21 13:48:34
1582178400,上海,334 #2020-02-20 14:00:00
1582087485,上海,333 #2020-02-19 12:44:45
1582020838,上海,333 #2020-02-18 18:13:58
1581921153,上海,332 #2020-02-17 14:32:33
1581823862,上海,328 #2020-02-16 11:31:02
1581782072,上海,326 #2020-02-15 23:54:32
1581653173,上海,318 #2020-02-14 12:06:13
1581597540,上海,315 #2020-02-13 20:39:00
1581496315,上海,311 #2020-02-12 16:31:55
1581402068,上海,303 #2020-02-11 14:21:08
1581314449,上海,299 #2020-02-10 14:00:49
1581248399,上海,293 #2020-02-09 19:39:59
1581143309,上海,286 #2020-02-08 14:28:29
1581055777,上海,277 #2020-02-07 14:09:37
1580971573,上海,257 #2020-02-06 14:46:13
1580883559,上海,243 #2020-02-05 14:19:19
1580819140,上海,219 #2020-02-04 20:25:40
1580715693,上海,203 #2020-02-03 15:41:33
1580624383,上海,182 #2020-02-02 14:19:43
1580544544,上海,169 #2020-02-01 16:09:04
1580463388,上海,135 #2020-01-31 17:36:28
1580369232,上海,112 #2020-01-30 15:27:12
1580283376,上海,96 #2020-01-29 15:36:16
1580197409,上海,66 #2020-01-28 15:43:29
1580111800,上海,53 #2020-01-27 15:56:40
1580008921,上海,40 #2020-01-26 11:22:01
1579917045,上海,33 #2020-01-25 09:50:45
1579870100,上海,20 #2020-01-24 20:48:20
1579740940,上海,16 #2020-01-23 08:55:40
1579660774,上海,9 #2020-01-22 10:39:34
1582542741,湖北,64287 #2020-02-24 19:12:21
1582459563,湖北,64084 #2020-02-23 20:06:03
1582376128,湖北,63454 #2020-02-22 20:55:28
1582289837,湖北,62662 #2020-02-21 20:57:17
1582207711,湖北,62031 #2020-02-20 22:08:31
1582120062,湖北,61682 #2020-02-19 21:47:42
1582023737,湖北,59989 #2020-02-18 19:02:17
1581942179,湖北,58182 #2020-02-17 20:22:59
1581854183,湖北,56249 #2020-02-16 19:56:23
1581778266,湖北,54406 #2020-02-15 22:51:06
1581674006,湖北,51986 #2020-02-14 17:53:26
1581603164,湖北,48206 #2020-02-13 22:12:44
1581516423,湖北,33366 #2020-02-12 22:07:03
1581429320,湖北,31728 #2020-02-11 21:55:20
1581341402,湖北,29631 #2020-02-10 21:30:02
1581246573,湖北,27100 #2020-02-09 19:09:33
1581170570,湖北,24953 #2020-02-08 22:02:50
1581084110,湖北,22112 #2020-02-07 22:01:50
1580992111,湖北,19665 #2020-02-06 20:28:31
1580917949,湖北,16678 #2020-02-05 23:52:29
1580808885,湖北,13522 #2020-02-04 17:34:45
1580736750,湖北,11177 #2020-02-03 21:32:30
1580647805,湖北,9074 #2020-02-02 20:50:05
1580557795,湖北,7153 #2020-02-01 19:49:55
1580479601,湖北,5806 #2020-01-31 22:06:41
1580394277,湖北,4903 #2020-01-30 22:24:37
1580301284,湖北,3554 #2020-01-29 20:34:44
1580200577,湖北,2714 #2020-01-28 16:36:17
1580114577,湖北,1423 #2020-01-27 16:42:57
1580017835,湖北,1058 #2020-01-26 13:50:35
1579967735,湖北,730 #2020-01-25 23:55:35
1579858209,湖北,549 #2020-01-24 17:30:09
1579704592,湖北,444 #2020-01-22 22:49:52
1582553291,湖南,1016 #2020-02-24 22:08:11
1582456742,湖南,1016 #2020-02-23 19:19:02
1582365262,湖南,1013 #2020-02-22 17:54:22
1582297878,湖南,1011 #2020-02-21 23:11:18
1582196777,湖南,1010 #2020-02-20 19:06:17
1582111753,湖南,1008 #2020-02-19 19:29:13
1582033241,湖南,1007 #2020-02-18 21:40:41
1581939779,湖南,1006 #2020-02-17 19:42:59
1581858727,湖南,1004 #2020-02-16 21:12:07
1581771238,湖南,1001 #2020-02-15 20:53:58
1581672098,湖南,988 #2020-02-14 17:21:38
1581597540,湖南,968 #2020-02-13 20:39:00
1581511285,湖南,946 #2020-02-12 20:41:25
1581425214,湖南,912 #2020-02-11 20:46:54
1581342437,湖南,879 #2020-02-10 21:47:17
1581251322,湖南,838 #2020-02-09 20:28:42
1581166367,湖南,803 #2020-02-08 20:52:47
1581074989,湖南,772 #2020-02-07 19:29:49
1580994727,湖南,711 #2020-02-06 21:12:07
1580915886,湖南,661 #2020-02-05 23:18:06
1580824570,湖南,593 #2020-02-04 21:56:10
1580727275,湖南,521 #2020-02-03 18:54:35
1580648464,湖南,463 #2020-02-02 21:01:04
1580555015,湖南,389 #2020-02-01 19:03:35
1580435794,湖南,332 #2020-01-31 09:56:34
1580361008,湖南,277 #2020-01-30 13:10:08
1580259986,湖南,221 #2020-01-29 09:06:26
1580197409,湖南,143 #2020-01-28 15:43:29
1580086373,湖南,100 #2020-01-27 08:52:53
1580003624,湖南,69 #2020-01-26 09:53:44
1579921467,湖南,43 #2020-01-25 11:04:27
1579880103,湖南,24 #2020-01-24 23:35:03
1579751777,湖南,9 #2020-01-23 11:56:17
1579689957,湖南,4 #2020-01-22 18:45:57
1582539414,广东,1345 #2020-02-24 18:16:54
1582456742,广东,1342 #2020-02-23 19:19:02
1582365700,广东,1339 #2020-02-22 18:01:40
1582279933,广东,1333 #2020-02-21 18:12:13
1582196839,广东,1332 #2020-02-20 19:07:19
1582107357,广东,1331 #2020-02-19 18:15:57
1582033241,广东,1328 #2020-02-18 21:40:41
1581943350,广东,1322 #2020-02-17 20:42:30
1581854491,广东,1316 #2020-02-16 20:01:31
1581775617,广东,1294 #2020-02-15 22:06:57
1581684487,广东,1261 #2020-02-14 20:48:07
1581600572,广东,1241 #2020-02-13 21:29:32
1581509715,广东,1219 #2020-02-12 20:15:15
1581429320,广东,1177 #2020-02-11 21:55:20
1581341768,广东,1159 #2020-02-10 21:36:08
1581260453,广东,1131 #2020-02-09 23:00:53
1581162409,广东,1095 #2020-02-08 19:46:49
1581070490,广东,1034 #2020-02-07 18:14:50
1580992840,广东,970 #2020-02-06 20:40:40
1580908727,广东,895 #2020-02-05 21:18:47
1580820916,广东,813 #2020-02-04 20:55:16
1580734201,广东,725 #2020-02-03 20:50:01
1580647937,广东,632 #2020-02-02 20:52:17
1580566974,广东,535 #2020-02-01 22:22:54
1580477315,广东,436 #2020-01-31 21:28:35
1580385986,广东,354 #2020-01-30 20:06:26
1580294815,广东,277 #2020-01-29 18:46:55
1580208276,广东,207 #2020-01-28 18:44:36
1580130097,广东,151 #2020-01-27 21:01:37
1580034395,广东,111 #2020-01-26 18:26:35
1579920983,广东,78 #2020-01-25 10:56:23
1579880103,广东,53 #2020-01-24 23:35:03
1579773174,广东,32 #2020-01-23 17:52:54
1579669575,广东,26 #2020-01-22 13:06:15
1582461315,贵州,146 #2020-02-23 20:35:15
1582333404,贵州,146 #2020-02-22 09:03:24
1582289211,贵州,146 #2020-02-21 20:46:51
1582191746,贵州,146 #2020-02-20 17:42:26
1582109463,贵州,146 #2020-02-19 18:51:03
1582032684,贵州,146 #2020-02-18 21:31:24
1581937565,贵州,146 #2020-02-17 19:06:05
1581844262,贵州,144 #2020-02-16 17:11:02
1581778266,贵州,143 #2020-02-15 22:51:06
1581644656,贵州,140 #2020-02-14 09:44:16
1581597540,贵州,135 #2020-02-13 20:39:00
1581500257,贵州,133 #2020-02-12 17:37:37
1581429320,贵州,127 #2020-02-11 21:55:20
1581337684,贵州,109 #2020-02-10 20:28:04
1581241517,贵州,99 #2020-02-09 17:45:17
1581144099,贵州,89 #2020-02-08 14:41:39
1581073408,贵州,81 #2020-02-07 19:03:28
1580982324,贵州,71 #2020-02-06 17:45:24
1580905692,贵州,64 #2020-02-05 20:28:12
1580813020,贵州,58 #2020-02-04 18:43:40
1580693314,贵州,46 #2020-02-03 09:28:34
1580605249,贵州,38 #2020-02-02 09:00:49
1580471190,贵州,29 #2020-01-31 19:46:30
1580345827,贵州,12 #2020-01-30 08:57:07
1580273644,贵州,9 #2020-01-29 12:54:04
1580172465,贵州,9 #2020-01-28 08:47:45
1580086857,贵州,7 #2020-01-27 09:00:57
1580003624,贵州,5 #2020-01-26 09:53:44
1579922800,贵州,4 #2020-01-25 11:26:40
1579809031,贵州,3 #2020-01-24 03:50:31
1579755121,贵州,3 #2020-01-23 12:52:01
1579688811,贵州,1 #2020-01-22 18:26:51
1582556555,全国,77269 #2020-02-24 23:02:35
1582468705,全国,77048 #2020-02-23 22:38:25
1582380500,全国,76396 #2020-02-22 22:08:20
1582297878,全国,75571 #2020-02-21 23:11:18
1582209389,全国,74680 #2020-02-20 22:36:29
1582121182,全国,74284 #2020-02-19 22:06:22
1582038545,全国,72532 #2020-02-18 23:09:05
1581954180,全国,70644 #2020-02-17 23:43:00
1581860752,全国,68595 #2020-02-16 21:45:52
1581778266,全国,66581 #2020-02-15 22:51:06
1581693495,全国,63950 #2020-02-14 23:18:15
1581609094,全国,59907 #2020-02-13 23:51:34
1581520043,全国,44765 #2020-02-12 23:07:23
1581434903,全国,42747 #2020-02-11 23:28:23
1581344203,全国,40262 #2020-02-10 22:16:43
1581260453,全国,37289 #2020-02-09 23:00:53
1581175014,全国,34673 #2020-02-08 23:16:54
1581089035,全国,31264 #2020-02-07 23:23:55
1581001350,全国,28138 #2020-02-06 23:02:30
1580917949,全国,24434 #2020-02-05 23:52:29
1580830706,全国,20530 #2020-02-04 23:38:26
1580741818,全国,17341 #2020-02-03 22:56:58
1580658452,全国,14490 #2020-02-02 23:47:32
1580572013,全国,11901 #2020-02-01 23:46:53
1580481785,全国,9811 #2020-01-31 22:43:05
1580396939,全国,8149 #2020-01-30 23:08:59
1580311864,全国,6095 #2020-01-29 23:31:04
1580216523,全国,4630 #2020-01-28 21:02:03
1580140525,全国,2857 #2020-01-27 23:55:25
1580051011,全国,2076 #2020-01-26 23:03:31
1579967675,全国,1408 #2020-01-25 23:54:35
1579881254,全国,897 #2020-01-24 23:54:14
